estadio;tempo;planta;hibrid_tolerancia;n_pulverizacoes;n_pulverizacoes_caracter;n_cigarrinha
V8;28;31;alta;0;a_0;0
V8;28;32;alta;0;a_0;0
V8;28;33;alta;0;a_0;1
V8;28;34;alta;0;a_0;0
V8;28;35;alta;0;a_0;1
V8;28;36;alta;0;a_0;0
V8;28;37;alta;0;a_0;0
V8;28;38;alta;0;a_0;1
V8;28;39;alta;0;a_0;0
V8;28;40;alta;0;a_0;0
V1-V2;0;1;baixa;1;b_1;0
V1-V2;0;2;baixa;1;b_1;0
V1-V2;0;3;baixa;1;b_1;0
V1-V2;0;4;baixa;1;b_1;0
V1-V2;0;5;baixa;1;b_1;1
V1-V2;0;6;baixa;1;b_1;0
V1-V2;0;7;baixa;1;b_1;0
V1-V2;0;8;baixa;1;b_1;0
V1-V2;0;9;baixa;1;b_1;0
V1-V2;0;10;baixa;1;b_1;1
V1-V2;0;11;baixa;1;b_1;0
V1-V2;0;12;baixa;1;b_1;0
V1-V2;0;13;baixa;1;b_1;0
V1-V2;0;14;baixa;1;b_1;1
V1-V2;0;15;baixa;1;b_1;0
V1-V2;0;16;baixa;1;b_1;0
V1-V2;0;17;baixa;1;b_1;0
V1-V2;0;18;baixa;1;b_1;0
V1-V2;0;19;baixa;1;b_1;0
V1-V2;0;20;baixa;1;b_1;1
V1-V2;0;21;baixa;1;b_1;0
V1-V2;0;22;baixa;1;b_1;0
V1-V2;0;23;baixa;1;b_1;0
V1-V2;0;24;baixa;1;b_1;0
V1-V2;0;25;baixa;1;b_1;0
V1-V2;0;26;baixa;1;b_1;0
V1-V2;0;27;baixa;1;b_1;0
V1-V2;0;28;baixa;1;b_1;0
V1-V2;0;29;baixa;1;b_1;0
V1-V2;0;30;baixa;1;b_1;0
V1-V2;0;31;baixa;1;b_1;0
V1-V2;0;32;baixa;1;b_1;0
V1-V2;0;33;baixa;1;b_1;0
V1-V2;0;34;baixa;1;b_1;0
V1-V2;0;35;baixa;1;b_1;0
V1-V2;0;36;baixa;1;b_1;0
V1-V2;0;37;baixa;1;b_1;0
V1-V2;0;38;baixa;1;b_1;0
V1-V2;0;39;baixa;1;b_1;0
V1-V2;0;40;baixa;1;b_1;0
V3-V4;7;1;baixa;1;b_1;0
V3-V4;7;2;baixa;1;b_1;0
V3-V4;7;3;baixa;1;b_1;0
V3-V4;7;4;baixa;1;b_1;0
V3-V4;7;5;baixa;1;b_1;0
V3-V4;7;6;baixa;1;b_1;0
V3-V4;7;7;baixa;1;b_1;0
V3-V4;7;8;baixa;1;b_1;0
V3-V4;7;9;baixa;1;b_1;0
V3-V4;7;10;baixa;1;b_1;0
V3-V4;7;11;baixa;1;b_1;1
V3-V4;7;12;baixa;1;b_1;0
V3-V4;7;13;baixa;1;b_1;0
V3-V4;7;14;baixa;1;b_1;0
V3-V4;7;15;baixa;1;b_1;0
V3-V4;7;16;baixa;1;b_1;0
V3-V4;7;17;baixa;1;b_1;0
V3-V4;7;18;baixa;1;b_1;1
V3-V4;7;19;baixa;1;b_1;0
V3-V4;7;20;baixa;1;b_1;0
V3-V4;7;21;baixa;1;b_1;0
V3-V4;7;22;baixa;1;b_1;0
V3-V4;7;23;baixa;1;b_1;0
V3-V4;7;24;baixa;1;b_1;0
V3-V4;7;25;baixa;1;b_1;0
V3-V4;7;26;baixa;1;b_1;0
V3-V4;7;27;baixa;1;b_1;1
V3-V4;7;28;baixa;1;b_1;0
V3-V4;7;29;baixa;1;b_1;1
V3-V4;7;30;baixa;1;b_1;0
V3-V4;7;31;baixa;1;b_1;1
V3-V4;7;32;baixa;1;b_1;1
V3-V4;7;33;baixa;1;b_1;0
V3-V4;7;34;baixa;1;b_1;0
